Time, Aileron Command (norm), Elevator Command (norm), Rudder Command (norm), Flap Command (norm), Left Aileron Position (deg), Right Aileron Position (deg), Elevator Position (deg), Rudder Position (deg), Flap Position (deg), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), nk-8-2u_N1[0], nk-8-2u_N2[0], Direct Thrust (engine 0 in lbs), nk-8-2u_N1[1], nk-8-2u_N2[1], Direct Thrust (engine 1 in lbs), nk-8-2u_N1[2], nk-8-2u_N2[2], Direct Thrust (engine 2 in lbs), tsa-6a_N1[3], tsa-6a_N2[3], Direct Thrust (engine 3 in lbs), v-down-fps, vc-fps, flap-pos-deg, speed-pid, speed-error-switched, pnp-heading, gs-trigger, gs-pid, gs-error-switched, gs-error
12.68333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02686382869, 524983.6412, 4.76998356969, 769.720698959, -4.026114552044512e-06, 4.656445059628154e-06, 0.0002422763832512891,  4.580196720480368, -1.330629348588355, 0.06298248548963975, -388.7588966842369,  664.3315999214676, -0.0002075936693309141, 2.290728080617884e-06, 1.987480369832229e-06, 0.0002423355946446982, 96.852785252035, 11.590792480856, 0.4485881776809415, 0.6544708871249172,  286.4355797748032, 0.78782711625292, -16.198078177784, 59.62276416261, 30.282658556476,   9110270.81690019,  5331226.843554434,  18007837.87179908,  9115200.916653043,  5322793.088571655,  18007837.87179908, 0.053026724195019, 11.590792480856, 85.2623931095, 0, 0.0958941, 0, 0, 0.0958941, 0, 0, 0.0958941, 0, 0, 0.169199, 0, 0.000242335594644698163, 4.57386314841232355, 0, 0, 0, 163.687449581930679, -1, 0, 0, 0.000241853206344530699
13.675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02770213748, 533111.9974, 4.84383753968, 769.720697933, -3.079962026895872e-06, 3.372012854311233e-06, 0.0002367462789725529,  4.651112153271957, -1.351232167479983, 0.06394902689950223, -388.8069324367912,  664.3034864547056, -0.000202683739951849, 1.350043659753902e-06, 7.895568772949587e-07, 0.000236785158343467, 96.852790087461, 11.590798486024, 0.4486093407231645, 0.6544730983840787,  286.4355748874556, 0.78772095125314, -16.198085531228, 59.622764161517, 30.282658556483,  9109885.273846414,  5331885.625120413,  18007837.87160305,  9115200.916951403,  5322793.088747466,  18007837.87160305, 0.057169981042824, 11.590798486024, 85.262391939759, 0, 0.0583451, 0, 0, 0.0583451, 0, 0, 0.0583451, 0, 0, 0.102946, 0, 0.000236785158343467018, 4.64468051898875789, 0, 0, 0, 163.687625127849316, -1, 0, 0, 0.000235953989752225824
14.66666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02839933173, 539778.8658, 4.90441248026, 769.720699278, -4.106203261127355e-06, 5.425139144205409e-06, 0.0002441299717976926,  4.709277241149695, -1.368128915782534, 0.06475270110937587, -388.8549743707451,  664.2753674526651, -0.0002086011724742248, 2.9973978270056e-06, 2.257288275372125e-06, 0.000244195938562571, 96.852793879807, 11.590794544667, 0.4485941593237672, 0.6544715631544517,  286.4355798490153, 0.78776901641867, -16.198071204151, 59.622764160406, 30.282658556475,  9109499.683161004,  5332544.378805044,  18007837.87140262,  9115200.917255916,   5322793.08892358,  18007837.87140262, 0.061313237890629, 11.590794544667, 85.262390758842, 0, 0.035499, 0, 0, 0.035499, 0, 0, 0.035499, 0, 0, 0.062636, 0, 0.000244195938562571035, 4.70276517584860532, 0, 0, 0, 163.687805342996796, -1, 0, 0, 0.000243507486593571302
15.65833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02897769229, 545247.5393, 4.9541006619, 769.720697905, -3.493121510540097e-06, 1.94681424811524e-06, 0.000238910275460905,  4.756987768250355, -1.381992553113786, 0.06540125434316338, -388.9030043383052,   664.247247642346, -0.000205985807795879, -1.430184664528124e-07, 7.542125446431988e-07, 0.0002389425085640668, 96.852793097496, 11.590794935822, 0.4485986341660733, 0.6544731253406522,  286.4355747333612, 0.78767908564922, -16.198103514995, 59.622764159305, 30.282658556477,  9109114.044834159,  5333203.104603298,  18007837.87120012,  9115200.917554764,  5322793.089098426,  18007837.87120012, 0.065456494738433, 11.590794935822, 85.262389585376, 0, 0.0215988, 0, 0, 0.0215988, 0, 0, 0.0215988, 0, 0, 0.0381098, 0, 0.000238942508564066826, 4.75040972871669354, 0, 0, 0, 163.687991011882559, -1, 0, 0, 0.000238683719525797781
16.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02945642438, 549733.0278, 4.99485565907, 769.720697577, -3.343805064957896e-06, 9.781759615455427e-07, 0.0002371475900099536,  4.796120877298422, -1.393362848699955, 0.06593600833519038, -388.9510358386252,  664.2191234815768, -0.000205099511766069, -1.022287552006668e-06, 3.602282814884466e-07, 0.0002371707032020378, 96.852793321013, 11.590793691576, 0.4486000231359272, 0.6544782259178907,   286.435579967893, 0.78764007674658, -16.198119154496, 59.622764158202, 30.282658556481,  9108728.358874422,  5333861.802514078,  18007837.87099804,  9115200.917854479,  5322793.089274345,  18007837.87099804, 0.069599751586238, 11.590793691576, 85.262388408184, 0, 0.0131414, 0, 0, 0.0131414, 0, 0, 0.0131414, 0, 0, 0.0231872, 0, 0.000237170703202037786, 4.78948872468808329, 0, 0, 0, 163.688166298422971, -1, 0, 0, 0.000237132128116536971
17.64166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02985202743, 553412.2039, 5.02828452884, 769.720696987, -2.588499773061649e-06, 1.193457022710796e-06, 0.0002351769228171455,  4.828219969863606,  -1.40268732542731, 0.0663738852924919, -388.9990660110593,  664.1909951302538, -0.0002023764106934596, -5.93754723445672e-07, -2.773286527353496e-07, 0.0002351932826983724, 96.852798528969, 11.590800069273, 0.4486170617211299,  0.654475148845043,  286.4355749561304, 0.78759956784259, -16.198109343656, 59.622764157108, 30.282658556481,  9108342.625282768,  5334520.472531983,  18007837.87080207,  9115200.918154012,   5322793.08944938,  18007837.87080207, 0.073743008434042, 11.590800069273, 85.262387238443, 0, 0.00799565, 0, 0, 0.00799565, 0, 0, 0.00799565, 0, 0, 0.0141079, 0, 0.000235193282698372384, 4.82154343005956587, 0, 0, 0, 163.688352106862453, -1, 0, 0, 0.000234487320251215676
18.63333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03017844883, 556429.6614, 5.05570104521, 769.720699275, -4.085372590071081e-06, 5.034858807436456e-06, 0.0002442690146229622,  4.854546334651694, -1.410332694496409, 0.06674304520819514, -389.0471021926723,  664.1628619306289, -0.0002089646517481885, 2.628342219387502e-06, 2.1250770804294e-06, 0.0002443316750373434, 96.852802112699, 11.59079592675, 0.4486002309715226, 0.6544731442724164,  286.4355799260641, 0.78768511384315, -16.198077168598, 59.622764155996, 30.282658556472,  9107956.844066607,  5335179.114655457,  18007837.87060131,  9115200.918458762,  5322793.089625415,  18007837.87060131, 0.077886265281847, 11.59079592675, 85.262386053801, 0, 0.00486482, 0, 0, 0.00486482, 0, 0, 0.00486482, 0, 0, 0.00858368, 0, 0.000244331675037343435, 4.84783339052623941, 0, 0, 0, 163.688527092520246, -1, 0, 0, 0.000243736768224911811
19.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03044755619, 558905.0533, 5.07819237283, 769.720697909, -3.468336428358486e-06, 1.66535887412082e-06, 0.0002391608294014346,  4.876142130512401, -1.416609385561719, 0.06703392607126452, -389.0951241061474,  664.1347281885004, -0.0002063559509392478, -4.07048823109456e-07, 6.475239105052177e-07, 0.000239190551876809, 96.852801229805, 11.590802472085, 0.4486032809735143, 0.6544743371168268,  286.4355747573821, 0.78761426939788, -16.198106958863, 59.622764154894, 30.282658556473,   9107571.01521707,  5335837.728878803,  18007837.87039859,  9115200.918757839,   5322793.08980021,  18007837.87039859, 0.082029522129651, 11.590802472085, 85.262384880334, 0, 0.00295991, 0, 0, 0.00295991, 0, 0, 0.00295991, 0, 0, 0.00522259, 0, 0.000239190551876808973, 4.86939932377479678, 0, 0, 0, 163.688712778898235, -1, 0, 0, 0.000238964657402491884
20.61666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03066916835, 560935.3575, 5.09663964739, 769.720697588, -3.294978996260152e-06, 8.146263718974354e-07, 0.0002372515684723841,   4.89385511304125, -1.421756621578468, 0.06727508358382647, -389.1431474858665,  664.1065901339526, -0.0002052695998213107, -1.16579829065074e-06, 2.657638175307475e-07, 0.0002372728334952177, 96.852801270783, 11.590794775635, 0.4486037662170104,  0.654479207537518,  286.4355800114397, 0.7875867770603, -16.198120957383, 59.62276415379, 30.282658556477,  9107185.138742572,  5336496.315200881,  18007837.87019627,  9115200.919057639,  5322793.089976059,  18007837.87019627, 0.086172778977456, 11.590794775635, 85.262383706868, 0, 0.0020445, 0, 0, 0.0020445, 0, 0, 0.0020445, 0, 0, 0.00317759, 0, 0.000237272833495217711, 4.88708781279932047, 0, 0, 0, 163.688888024410772, -1, 0, 0, 0.000237248071879581622
21.60833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03085154549, 562600.7132, 5.11177101331, 769.720696986, -2.784345588024792e-06, 2.521240835168564e-07, 0.00023671384722047,  4.908384467571603,  -1.42597759889293, 0.06747368753729013, -389.1911695169832,  664.0784478802823, -0.0002042083332160065, -1.558614373464875e-06, -3.75995711632862e-07, 0.000236724926754577, 96.852806344628, 11.590794764459, 0.4486201470420024, 0.6544758966342538,  286.4355749571656, 0.78757360210471, -16.19812022599, 59.622764152697, 30.282658556477,  9106799.214644197,  5337154.873616313,  18007837.87000014,  9115200.919357235,  5322793.090151032,  18007837.87000014, 0.09031603582526, 11.590794764459, 85.262382537127, 0, 0.00205668, 0, 0, 0.00205668, 0, 0, 0.00205668, 0, 0, 0.00205668, 0, 0.000236724926754577002, 4.90159707582200621, 0, 0, 0, 163.68907384810035, -1, 0, 0, 0.000236038327798984617
22.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03100150336, 563966.3519, 5.12417916106, 769.720699456, -4.219708458396969e-06, 4.872096388533021e-06, 0.0002452163877584657,  4.920299823848326, -1.429435516323933, 0.06764482800873023, -389.2391979949574,  664.0503007412002, -0.0002099161593575241, 2.430162113770832e-06, 2.195395598529106e-06, 0.0002452792176742685, 96.852809667587, 11.590796612203,  0.448602936478767, 0.6544738342047405,  286.4355799544896, 0.78765911235279, -16.198080002852, 59.622764151584, 30.282658556468,  9106413.242929289,   5337813.40412354,  18007837.86979911,  9115200.919661945,  5322793.090327005,  18007837.86979911, 0.094459292673065, 11.590796612203, 85.26238135621, 0, 0.00206669, 0, 0, 0.00206669, 0, 0, 0.00206669, 0, 0, 0.00206669, 0, 0.000245279217674268524, 4.91349595524399607, 0, 0, 0, 163.689248803735836, -1, 0, 0, 0.000244730205134077012
23.59166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0311248228, 565086.9264, 5.13436066342, 769.720697714, -3.344175421351072e-06, 1.070060030987145e-06, 0.0002408926103330336,  4.930075465031953, -1.432278579879045, 0.06777463228576933, -389.2872116593646,  664.0221527385204, -0.000207387603861365, -9.503739647220735e-07, 3.372506338073445e-07, 0.0002409160876473663, 96.852813459933, 11.59080157429, 0.4486204620427643, 0.6544714676604637,  286.4355749052506, 0.78760575191298, -16.198113035412, 59.622764150491, 30.282658556469,  9106027.223588806,   5338471.90671692,  18007837.86960196,  9115200.919960711,  5322793.090501795,  18007837.86960196, 0.098602549520869, 11.59080157429, 85.262380186468, 0, 0.00207493, 0, 0, 0.00207493, 0, 0, 0.00207493, 0, 0, 0.00207493, 0, 0.000240916087647366289, 4.9232580783841966, 0, 0, 0, 163.689434669729053, -1, 0, 0, 0.000240074494479491376
24.58333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03122613966, 566005.9086, 5.14271050425, 769.720697596, -3.316167384155922e-06, 4.875296463679217e-07, 0.0002384810135790958,  4.938092828577803, -1.434608839043182, 0.06788244123381162, -389.3352269131786,  663.9940010216765, -0.0002062423028528159, -1.490836569630458e-06, 1.773685691851906e-07, 0.0002384998415538288, 96.85281227529, 11.590798918158, 0.4486168192841662, 0.6544770825833108,   286.435580146457, 0.78757782703672, -16.198124543262, 59.622764149385, 30.282658556472,    9105641.1566319,  5339130.381395255,  18007837.86939815,  9115200.920260668,  5322793.090677639,  18007837.86939815, 0.10274580636867, 11.590798918158, 85.262379009277, 0, 0.00208169, 0, 0, 0.00208169, 0, 0, 0.00208169, 0, 0, 0.00208169, 0, 0.000238499841553828801, 4.9312643556782243, 0, 0, 0, 163.68961509238116, -1, 0, 0, 0.000238255484334982969
25.575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03130936767, 566759.7034, 5.14955945807, 769.720697348, -3.111252813592594e-06, 1.198500813156989e-07, 0.0002367937044795239,  4.944669351747302, -1.436519257066554, 0.0679708628512119, -389.3832405437591,  663.9658454385931, -0.0002050747667996684, -1.778297102929818e-06, -1.009334542084419e-07, 0.0002368074749597713, 96.852812040597, 11.590799860656, 0.4486166733317045, 0.6544774473555703,  286.4355748830291, 0.78755484408393, -16.198122644351, 59.622764148281, 30.282658556471,   9105255.04205942,  5339788.828153119,   18007837.8691957,  9115200.920560647,  5322793.090852554,   18007837.8691957, 0.10688906321648, 11.590799860656, 85.262377832085, 0, 0.00208725, 0, 0, 0.00208725, 0, 0, 0.00208725, 0, 0, 0.00208725, 0, 0.000236807474959771258, 4.93783178477063878, 0, 0, 0, 163.689795521140752, -1, 0, 0, 0.000236698158317881079
26.56666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03137768307, 567377.6864, 5.15517443133, 769.720699827, -4.373343237965185e-06, 5.229906843129188e-06, 0.0002452470276597097,  4.950061959206153, -1.438081658853933, 0.06805262627048932, -389.4312613284401,  663.9376841553706, -0.0002100673218103209, 2.729753853132738e-06, 2.443539914328969e-06, 0.0002453144108564805, 96.852816142142, 11.590796232224, 0.4486030283533342, 0.6544746872216198,  286.4355799517587, 0.78764320147714, -16.198076938359, 59.622764147171, 30.282658556462,   9104868.87987785,  5340447.246989003,   18007837.8689957,  9115200.920865113,  5322793.091028466,   18007837.8689957, 0.11103232006428, 11.590796232224, 85.262376654893, 0, 0.00209181, 0, 0, 0.00209181, 0, 0, 0.00209181, 0, 0, 0.00209181, 0, 0.000245314410856480459, 4.9432169351393096, 0, 0, 0, 163.689975747516797, -1, 0, 0, 0.000245034102735440854
27.55833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0314338235, 567885.0309, 5.15978414726, 769.720697846, -3.577742853163609e-06, 4.137527144685825e-07, 0.0002419596129333745,  4.954487211007758, -1.439371365916057, 0.06811015549365862, -389.4792663990399,  663.9095222525681, -0.00020879359032725, -1.650507961019134e-06, 3.615721836876197e-07, 0.0002419805173980938, 96.852820314467, 11.590801578015, 0.4486210189958882, 0.6544719234799586,  286.4355748726254, 0.7876049489671, -16.198120715879, 59.622764146078, 30.282658556464,   9104482.67007914,  5341105.637897322,  18007837.86879895,  9115200.921163991,  5322793.091203251,  18007837.86879895, 0.11517557691209, 11.590801578015, 85.262375481427, 0, 0.00209556, 0, 0, 0.00209556, 0, 0, 0.00209556, 0, 0, 0.00209556, 0, 0.000241980517398093754, 4.94763606747856866, 0, 0, 0, 163.6901511009724, -1, 0, 0, 0.000241268077062860265
28.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03147989086, 568301.0062, 5.16356368411, 769.720697688, -3.36094144002532e-06, 2.977991941519909e-07, 0.0002386895850913888,  4.958116259470575, -1.440426222735531, 0.06815698285109757, -389.5272734796557,  663.8813566182391, -0.0002065731023252582, -1.686375577463603e-06, 1.638973388718829e-07, 0.0002387074190372559, 96.852819249034, 11.590792771429, 0.4486174895729073,  0.654477392687954,  286.4355801467104, 0.78756957394272, -16.19812670938, 59.622764144972, 30.282658556467,  9104096.412672011,  5341764.000876819,  18007837.86859525,  9115200.921463991,  5322793.091379085,  18007837.86859525, 0.11931883375989, 11.590792771429, 85.26237430796, 0, 0.00209864, 0, 0, 0.00209864, 0, 0, 0.00209864, 0, 0, 0.00209864, 0, 0.000238707419037255907, 4.95126009765697983, 0, 0, 0, 163.690331514789108, -1, 0, 0, 0.000238516879352761646
